veracross_class_id,class_id,school_year,veracross_student_id,enrollment_level_id
Course 21,Course 21,2021-22,johndoe0@pingry.org,5
Course 11,Course 11,2021-22,johndoe1@pingry.org,3
Course 16,Course 16,2021-22,johndoe2@pingry.org,3
Course 15,Course 15,2021-22,johndoe3@pingry.org,5
Course 16,Course 16,2021-22,johndoe4@pingry.org,3
Course 6,Course 6,2021-22,johndoe5@pingry.org,5
Course 14,Course 14,2021-22,johndoe6@pingry.org,5
Course 17,Course 17,2021-22,johndoe7@pingry.org,5
Course 26,Course 26,2021-22,johndoe8@pingry.org,5
Course 18,Course 18,2021-22,johndoe9@pingry.org,5
Course 20,Course 20,2021-22,johndoe10@pingry.org,5
Course 5,Course 5,2021-22,johndoe11@pingry.org,4
Course 26,Course 26,2021-22,johndoe12@pingry.org,3
Course 36,Course 36,2021-22,johndoe13@pingry.org,5
Course 19,Course 19,2021-22,johndoe14@pingry.org,4
Course 30,Course 30,2021-22,johndoe15@pingry.org,3
Course 25,Course 25,2021-22,johndoe16@pingry.org,4
Course 32,Course 32,2021-22,johndoe17@pingry.org,5
Course 19,Course 19,2021-22,johndoe18@pingry.org,4
Course 13,Course 13,2021-22,johndoe19@pingry.org,4
Course 12,Course 12,2021-22,johndoe20@pingry.org,5
Course 24,Course 24,2021-22,johndoe21@pingry.org,4
Course 12,Course 12,2021-22,johndoe22@pingry.org,3
Course 19,Course 19,2021-22,johndoe23@pingry.org,4
Course 14,Course 14,2021-22,johndoe24@pingry.org,5
Course 40,Course 40,2021-22,johndoe25@pingry.org,3
Course 36,Course 36,2021-22,johndoe26@pingry.org,4
Course 39,Course 39,2021-22,johndoe27@pingry.org,3
Course 28,Course 28,2021-22,johndoe28@pingry.org,3
Course 16,Course 16,2021-22,johndoe29@pingry.org,3
Course 25,Course 25,2021-22,johndoe30@pingry.org,5
Course 39,Course 39,2021-22,johndoe31@pingry.org,4
Course 38,Course 38,2021-22,johndoe32@pingry.org,5
Course 28,Course 28,2021-22,johndoe33@pingry.org,5
Course 33,Course 33,2021-22,johndoe34@pingry.org,3
Course 11,Course 11,2021-22,johndoe35@pingry.org,4
Course 11,Course 11,2021-22,johndoe36@pingry.org,4
Course 11,Course 11,2021-22,johndoe37@pingry.org,4
Course 34,Course 34,2021-22,johndoe38@pingry.org,4
Course 23,Course 23,2021-22,johndoe39@pingry.org,4
Course 3,Course 3,2021-22,johndoe40@pingry.org,3
Course 40,Course 40,2021-22,johndoe41@pingry.org,5
Course 29,Course 29,2021-22,johndoe42@pingry.org,4
Course 27,Course 27,2021-22,johndoe43@pingry.org,3
Course 1,Course 1,2021-22,johndoe44@pingry.org,3
Course 33,Course 33,2021-22,johndoe45@pingry.org,3
Course 27,Course 27,2021-22,johndoe46@pingry.org,5
Course 14,Course 14,2021-22,johndoe47@pingry.org,3
Course 20,Course 20,2021-22,johndoe48@pingry.org,3
Course 33,Course 33,2021-22,johndoe49@pingry.org,4
Course 4,Course 4,2021-22,johndoe50@pingry.org,5
Course 35,Course 35,2021-22,johndoe51@pingry.org,5
Course 29,Course 29,2021-22,johndoe52@pingry.org,5
Course 36,Course 36,2021-22,johndoe53@pingry.org,4
Course 12,Course 12,2021-22,johndoe54@pingry.org,3
Course 24,Course 24,2021-22,johndoe55@pingry.org,5
Course 28,Course 28,2021-22,johndoe56@pingry.org,4
Course 25,Course 25,2021-22,johndoe57@pingry.org,5
Course 10,Course 10,2021-22,johndoe58@pingry.org,5
Course 32,Course 32,2021-22,johndoe59@pingry.org,3
Course 20,Course 20,2021-22,johndoe60@pingry.org,3
Course 27,Course 27,2021-22,johndoe61@pingry.org,3
Course 28,Course 28,2021-22,johndoe62@pingry.org,4
Course 23,Course 23,2021-22,johndoe63@pingry.org,5
Course 20,Course 20,2021-22,johndoe64@pingry.org,4
Course 3,Course 3,2021-22,johndoe65@pingry.org,5
Course 17,Course 17,2021-22,johndoe66@pingry.org,4
Course 28,Course 28,2021-22,johndoe67@pingry.org,4
Course 29,Course 29,2021-22,johndoe68@pingry.org,3
Course 14,Course 14,2021-22,johndoe69@pingry.org,4
Course 33,Course 33,2021-22,johndoe70@pingry.org,4
Course 4,Course 4,2021-22,johndoe71@pingry.org,3
Course 17,Course 17,2021-22,johndoe72@pingry.org,4
Course 24,Course 24,2021-22,johndoe73@pingry.org,3
Course 15,Course 15,2021-22,johndoe74@pingry.org,3
Course 27,Course 27,2021-22,johndoe75@pingry.org,5
Course 5,Course 5,2021-22,johndoe76@pingry.org,5
Course 14,Course 14,2021-22,johndoe77@pingry.org,4
Course 17,Course 17,2021-22,johndoe78@pingry.org,4
Course 25,Course 25,2021-22,johndoe79@pingry.org,3
Course 17,Course 17,2021-22,johndoe80@pingry.org,5
Course 13,Course 13,2021-22,johndoe81@pingry.org,5
Course 25,Course 25,2021-22,johndoe82@pingry.org,3
Course 25,Course 25,2021-22,johndoe83@pingry.org,5
Course 9,Course 9,2021-22,johndoe84@pingry.org,3
Course 18,Course 18,2021-22,johndoe85@pingry.org,3
Course 26,Course 26,2021-22,johndoe86@pingry.org,3
Course 15,Course 15,2021-22,johndoe87@pingry.org,4
Course 36,Course 36,2021-22,johndoe88@pingry.org,5
Course 29,Course 29,2021-22,johndoe89@pingry.org,5
Course 11,Course 11,2021-22,johndoe90@pingry.org,3
Course 28,Course 28,2021-22,johndoe91@pingry.org,3
Course 28,Course 28,2021-22,johndoe92@pingry.org,3
Course 15,Course 15,2021-22,johndoe93@pingry.org,5
Course 23,Course 23,2021-22,johndoe94@pingry.org,3
Course 27,Course 27,2021-22,johndoe95@pingry.org,4
Course 31,Course 31,2021-22,johndoe96@pingry.org,5
Course 18,Course 18,2021-22,johndoe97@pingry.org,5
Course 14,Course 14,2021-22,johndoe98@pingry.org,3
Course 2,Course 2,2021-22,johndoe99@pingry.org,3
Course 12,Course 12,2021-22,johndoe100@pingry.org,4
Course 12,Course 12,2021-22,johndoe101@pingry.org,4
Course 10,Course 10,2021-22,johndoe102@pingry.org,4
Course 26,Course 26,2021-22,johndoe103@pingry.org,3
Course 15,Course 15,2021-22,johndoe104@pingry.org,5
Course 23,Course 23,2021-22,johndoe105@pingry.org,5
Course 8,Course 8,2021-22,johndoe106@pingry.org,5
Course 23,Course 23,2021-22,johndoe107@pingry.org,4
Course 31,Course 31,2021-22,johndoe108@pingry.org,3
Course 25,Course 25,2021-22,johndoe109@pingry.org,4
Course 20,Course 20,2021-22,johndoe110@pingry.org,5
Course 8,Course 8,2021-22,johndoe111@pingry.org,5
Course 17,Course 17,2021-22,johndoe112@pingry.org,5
Course 1,Course 1,2021-22,johndoe113@pingry.org,4
Course 26,Course 26,2021-22,johndoe114@pingry.org,4
Course 3,Course 3,2021-22,johndoe115@pingry.org,3
Course 21,Course 21,2021-22,johndoe116@pingry.org,4
Course 33,Course 33,2021-22,johndoe117@pingry.org,3
Course 30,Course 30,2021-22,johndoe118@pingry.org,5
Course 25,Course 25,2021-22,johndoe119@pingry.org,5
Course 40,Course 40,2021-22,johndoe120@pingry.org,5
Course 24,Course 24,2021-22,johndoe121@pingry.org,4
Course 13,Course 13,2021-22,johndoe122@pingry.org,3
Course 6,Course 6,2021-22,johndoe123@pingry.org,4
Course 22,Course 22,2021-22,johndoe124@pingry.org,4
Course 8,Course 8,2021-22,johndoe125@pingry.org,4
Course 6,Course 6,2021-22,johndoe126@pingry.org,4
Course 20,Course 20,2021-22,johndoe127@pingry.org,3
Course 18,Course 18,2021-22,johndoe128@pingry.org,5
Course 39,Course 39,2021-22,johndoe129@pingry.org,4
Course 34,Course 34,2021-22,johndoe130@pingry.org,4
Course 18,Course 18,2021-22,johndoe131@pingry.org,4
Course 10,Course 10,2021-22,johndoe132@pingry.org,3
Course 19,Course 19,2021-22,johndoe133@pingry.org,4
Course 14,Course 14,2021-22,johndoe134@pingry.org,4
Course 16,Course 16,2021-22,johndoe135@pingry.org,5
Course 31,Course 31,2021-22,johndoe136@pingry.org,4
Course 9,Course 9,2021-22,johndoe137@pingry.org,4
Course 20,Course 20,2021-22,johndoe138@pingry.org,5
Course 35,Course 35,2021-22,johndoe139@pingry.org,3
Course 26,Course 26,2021-22,johndoe140@pingry.org,3
Course 39,Course 39,2021-22,johndoe141@pingry.org,5
Course 8,Course 8,2021-22,johndoe142@pingry.org,3
Course 30,Course 30,2021-22,johndoe143@pingry.org,3
Course 21,Course 21,2021-22,johndoe144@pingry.org,4
Course 25,Course 25,2021-22,johndoe145@pingry.org,4
Course 10,Course 10,2021-22,johndoe146@pingry.org,4
Course 26,Course 26,2021-22,johndoe147@pingry.org,4
Course 19,Course 19,2021-22,johndoe148@pingry.org,5
Course 18,Course 18,2021-22,johndoe149@pingry.org,3
Course 32,Course 32,2021-22,johndoe150@pingry.org,4
Course 1,Course 1,2021-22,johndoe151@pingry.org,3
Course 18,Course 18,2021-22,johndoe152@pingry.org,5
Course 9,Course 9,2021-22,johndoe153@pingry.org,4
Course 30,Course 30,2021-22,johndoe154@pingry.org,4
Course 21,Course 21,2021-22,johndoe155@pingry.org,5
Course 23,Course 23,2021-22,johndoe156@pingry.org,3
Course 17,Course 17,2021-22,johndoe157@pingry.org,5
Course 37,Course 37,2021-22,johndoe158@pingry.org,5
Course 7,Course 7,2021-22,johndoe159@pingry.org,3
Course 33,Course 33,2021-22,johndoe160@pingry.org,5
Course 22,Course 22,2021-22,johndoe161@pingry.org,4
Course 3,Course 3,2021-22,johndoe162@pingry.org,4
Course 21,Course 21,2021-22,johndoe163@pingry.org,3
Course 26,Course 26,2021-22,johndoe164@pingry.org,3
Course 18,Course 18,2021-22,johndoe165@pingry.org,3
Course 18,Course 18,2021-22,johndoe166@pingry.org,3
Course 26,Course 26,2021-22,johndoe167@pingry.org,3
Course 36,Course 36,2021-22,johndoe168@pingry.org,3
Course 11,Course 11,2021-22,johndoe169@pingry.org,4
Course 18,Course 18,2021-22,johndoe170@pingry.org,4
Course 33,Course 33,2021-22,johndoe171@pingry.org,5
Course 14,Course 14,2021-22,johndoe172@pingry.org,5
Course 29,Course 29,2021-22,johndoe173@pingry.org,4
Course 15,Course 15,2021-22,johndoe174@pingry.org,4
Course 27,Course 27,2021-22,johndoe175@pingry.org,4
Course 6,Course 6,2021-22,johndoe176@pingry.org,3
Course 6,Course 6,2021-22,johndoe177@pingry.org,3
Course 32,Course 32,2021-22,johndoe178@pingry.org,3
Course 26,Course 26,2021-22,johndoe179@pingry.org,5
Course 21,Course 21,2021-22,johndoe180@pingry.org,5
Course 31,Course 31,2021-22,johndoe181@pingry.org,4
Course 22,Course 22,2021-22,johndoe182@pingry.org,5
Course 23,Course 23,2021-22,johndoe183@pingry.org,5
Course 24,Course 24,2021-22,johndoe184@pingry.org,3
Course 29,Course 29,2021-22,johndoe185@pingry.org,5
Course 2,Course 2,2021-22,johndoe186@pingry.org,5
Course 22,Course 22,2021-22,johndoe187@pingry.org,5
Course 22,Course 22,2021-22,johndoe188@pingry.org,5
Course 20,Course 20,2021-22,johndoe189@pingry.org,5
Course 32,Course 32,2021-22,johndoe190@pingry.org,5
Course 25,Course 25,2021-22,johndoe191@pingry.org,5
Course 4,Course 4,2021-22,johndoe192@pingry.org,4
Course 7,Course 7,2021-22,johndoe193@pingry.org,5
Course 22,Course 22,2021-22,johndoe194@pingry.org,4
Course 10,Course 10,2021-22,johndoe195@pingry.org,5
Course 12,Course 12,2021-22,johndoe196@pingry.org,3
Course 9,Course 9,2021-22,johndoe197@pingry.org,5
Course 14,Course 14,2021-22,johndoe198@pingry.org,3
Course 28,Course 28,2021-22,johndoe199@pingry.org,5
Course 22,Course 22,2021-22,johndoe200@pingry.org,5
Course 24,Course 24,2021-22,johndoe201@pingry.org,4
Course 25,Course 25,2021-22,johndoe202@pingry.org,4
Course 28,Course 28,2021-22,johndoe203@pingry.org,5
Course 27,Course 27,2021-22,johndoe204@pingry.org,4
Course 18,Course 18,2021-22,johndoe205@pingry.org,5
Course 24,Course 24,2021-22,johndoe206@pingry.org,3
Course 18,Course 18,2021-22,johndoe207@pingry.org,3
Course 10,Course 10,2021-22,johndoe208@pingry.org,3
Course 21,Course 21,2021-22,johndoe209@pingry.org,4
Course 17,Course 17,2021-22,johndoe210@pingry.org,4
Course 13,Course 13,2021-22,johndoe211@pingry.org,4
Course 22,Course 22,2021-22,johndoe212@pingry.org,4
Course 29,Course 29,2021-22,johndoe213@pingry.org,3
Course 18,Course 18,2021-22,johndoe214@pingry.org,3
Course 16,Course 16,2021-22,johndoe215@pingry.org,4
Course 21,Course 21,2021-22,johndoe216@pingry.org,3
Course 28,Course 28,2021-22,johndoe217@pingry.org,5
Course 23,Course 23,2021-22,johndoe218@pingry.org,4
Course 31,Course 31,2021-22,johndoe219@pingry.org,3
Course 2,Course 2,2021-22,johndoe220@pingry.org,4
Course 22,Course 22,2021-22,johndoe221@pingry.org,5
Course 17,Course 17,2021-22,johndoe222@pingry.org,4
Course 30,Course 30,2021-22,johndoe223@pingry.org,3
Course 17,Course 17,2021-22,johndoe224@pingry.org,5
Course 12,Course 12,2021-22,johndoe225@pingry.org,5
Course 5,Course 5,2021-22,johndoe226@pingry.org,5
Course 24,Course 24,2021-22,johndoe227@pingry.org,5
Course 21,Course 21,2021-22,johndoe228@pingry.org,4
Course 31,Course 31,2021-22,johndoe229@pingry.org,3
Course 23,Course 23,2021-22,johndoe230@pingry.org,3
Course 23,Course 23,2021-22,johndoe231@pingry.org,4
Course 30,Course 30,2021-22,johndoe232@pingry.org,3
Course 19,Course 19,2021-22,johndoe233@pingry.org,3
Course 38,Course 38,2021-22,johndoe234@pingry.org,4
Course 32,Course 32,2021-22,johndoe235@pingry.org,4
Course 17,Course 17,2021-22,johndoe236@pingry.org,3
Course 16,Course 16,2021-22,johndoe237@pingry.org,5
Course 33,Course 33,2021-22,johndoe238@pingry.org,3
Course 24,Course 24,2021-22,johndoe239@pingry.org,5
Course 4,Course 4,2021-22,johndoe240@pingry.org,3
Course 22,Course 22,2021-22,johndoe241@pingry.org,5
Course 31,Course 31,2021-22,johndoe242@pingry.org,3
Course 20,Course 20,2021-22,johndoe243@pingry.org,3
Course 9,Course 9,2021-22,johndoe244@pingry.org,5
Course 28,Course 28,2021-22,johndoe245@pingry.org,3
Course 15,Course 15,2021-22,johndoe246@pingry.org,4
Course 23,Course 23,2021-22,johndoe247@pingry.org,5
Course 31,Course 31,2021-22,johndoe248@pingry.org,5
Course 35,Course 35,2021-22,johndoe249@pingry.org,3
Course 40,Course 40,2021-22,johndoe250@pingry.org,4
Course 25,Course 25,2021-22,johndoe251@pingry.org,4
Course 29,Course 29,2021-22,johndoe252@pingry.org,4
Course 38,Course 38,2021-22,johndoe253@pingry.org,3
Course 2,Course 2,2021-22,johndoe254@pingry.org,3
Course 19,Course 19,2021-22,johndoe255@pingry.org,5
Course 32,Course 32,2021-22,johndoe256@pingry.org,3
Course 39,Course 39,2021-22,johndoe257@pingry.org,5
Course 17,Course 17,2021-22,johndoe258@pingry.org,3
Course 19,Course 19,2021-22,johndoe259@pingry.org,3
